gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,Yes,62,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,24.25,785,No
Female,0,No,Yes,3,Yes,No,DSL,No internet service,No,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,64.5,1295,No
Female,1,No,No,56,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,One year,No,Bank transfer (automatic),110.5,5009,No
Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,No internet service,One year,No,Mailed check,55.65,2339,No
Female,0,Yes,Yes,8,Yes,No,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,No,Credit card (automatic),54.65,4071,No
Male,1,No,No,30,Yes,No,DSL,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),74.75,1742,No
Female,0,Yes,Yes,45,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,25.9,397,No
Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),79.35,5966,Yes
Female,0,Yes,Yes,11,No,Yes,DSL,No internet service,No,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),50.55,4676,No
Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,75.15,4199,Yes
Female,0,No,No,42,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,103.8,3682,No
Female,0,Yes,No,49,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,20.15,6491,No
Male,0,No,No,9,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,99.3,6364,No
Female,0,Yes,No,35,Yes,No,DSL,No internet service,No,No,No,No internet service,No,One year,Yes,Electronic check,62.15,1852,No
Female,0,Yes,Yes,48,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,20.65,108,No
Female,0,Yes,Yes,46,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),19.95,6382,No
Male,0,Yes,No,29,No,Yes,DSL,No,No,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),33.75,19,No
Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,No,Electronic check,82.05,2229,No
Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),74.7,5723,No
Male,0,Yes,Yes,66,Yes,No phone service,DSL,No internet service,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),84.0,4717,No
Female,0,No,No,65,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,111.05,5575,No
Male,0,No,No,72,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,100.9,5751,No
Female,0,No,No,12,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.95,6384,Yes
Male,0,Yes,Yes,71,Yes,No phone service,DSL,No internet service,No internet service,No,No internet service,No,No,One year,Yes,Mailed check,66.85,4018,No
Male,0,No,No,5,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),21.05,252,Yes
Male,0,No,No,52,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,21.0,203,No
Female,1,Yes,No,25,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),98.5,2175,Yes
Male,0,No,No,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),20.2,1610,No
Female,0,Yes,Yes,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),19.45,1483,No
Male,0,No,No,38,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No,One year,No,Electronic check,95.0,3122,No
Female,1,Yes,No,66,No,Yes,DSL,No,No internet service,No internet service,No,No internet service,No,One year,No,Electronic check,45.55,2630,No
Male,0,Yes,No,68,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,110.0,5833,Yes
Male,0,No,No,5,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),24.3,1,No
Female,0,Yes,Yes,72,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),104.15,5672,No
Female,0,No,No,32,No,Yes,DSL,No internet service,No,No,No,No,No,One year,No,Credit card (automatic),30.15,6385,No
Male,0,No,No,43,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No internet service,One year,No,Credit card (automatic),94.35,3358,No
Male,0,Yes,Yes,72,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,19.4,658,No
Male,0,Yes,No,55,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),96.75,4391,Yes
Female,0,No,No,52,Yes,No,DSL,No internet service,No,No internet service,No internet service,No,No,One year,No,Mailed check,57.95,2642,No
Female,0,No,No,43,Yes,No,Fiber optic,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),91.65,3380,No
Female,1,Yes,No,37,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),76.5,2475,Yes
Female,0,Yes,Yes,64,No,Yes,DSL,No,No internet service,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),54.6,2967,No
Male,0,Yes,Yes,3,Yes,No,Fiber optic,No internet service,No internet service,No,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),89.85,2128,No
Female,0,No,No,36,No,Yes,DSL,No internet service,No,No,No,No,No,Two year,No,Electronic check,31.05,240,No
Female,0,Yes,Yes,10,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),100.25,124,Yes
Female,0,No,No,41,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),20.65,6160,No
Male,0,Yes,Yes,27,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,No,No,Month-to-month,Yes,Mailed check,85.2,1769,No
Female,0,Yes,Yes,56,Yes,No phone service,Fiber optic,No,No,No internet service,No,No internet service,No internet service,One year,Yes,Mailed check,99.8,4581,No
Female,0,No,No,6,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),20.7,230,No
Male,0,No,No,3,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.4,1931,Yes
Female,0,Yes,Yes,7,Yes,No,DSL,No internet service,No,No,No,No,No,Month-to-month,No,Credit card (automatic),50.7,3039,No
Female,0,Yes,Yes,4,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),20.85,5043,No
Male,0,No,No,33,Yes,No,Fiber optic,No internet service,No,No,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),88.95,2632,No
Female,1,No,No,27,Yes,No phone service,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),78.05,1755,Yes
Male,0,Yes,No,72,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,23.55,1228,No
Male,0,No,No,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),19.75,1489,No
Male,1,No,No,71,No,Yes,DSL,No internet service,No internet service,No,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),56.45,3403,No
Female,0,No,No,13,Yes,No phone service,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),85.95,394,No
Female,0,Yes,Yes,25,No,Yes,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,58.6,912,Yes
Male,0,No,No,67,Yes,No,DSL,No,No,No,No internet service,No,No,Two year,No,Electronic check,50.55,2837,No
Male,0,No,No,1,No,Yes,DSL,No,No,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),35.45,3032,Yes
Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),44.35,6058,Yes
Female,0,No,No,43,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,25.7,348,No
Female,0,No,No,23,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.0,1304,No
Female,0,Yes,Yes,64,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),20.2,510,No
Male,0,No,Yes,57,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),19.6,319,No
Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),70.45,5510,Yes
Female,1,Yes,Yes,72,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,88.05,5173,No
Female,0,No,No,8,Yes,No phone service,DSL,No internet service,No,No,No internet service,No,No internet service,Month-to-month,No,Bank transfer (automatic),71.15,4664,Yes
Female,0,Yes,No,61,Yes,No phone service,Fiber optic,No,No internet service,No,No,No internet service,No internet service,Two year,Yes,Electronic check,101.05,4894,No
Male,0,No,No,64,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,No,No,One year,Yes,Mailed check,84.3,4419,No
Male,1,Yes,No,71,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,23.95,1278,No
Female,0,Yes,Yes,65,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No,Two year,Yes,Mailed check,99.05,5168,No
Male,0,No,No,3,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),19.6,4983,No
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.65,3821,Yes
Male,0,No,Yes,30,Yes,No,DSL,No,No internet service,No internet service,No,No internet service,No,One year,No,Mailed check,64.5,1528,No
Male,0,Yes,Yes,15,Yes,No,DSL,No,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),69.5,141,No
Female,0,Yes,Yes,8,Yes,No,DSL,No,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),68.55,4669,No
Male,0,No,No,7,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),95.0,5236,Yes
Female,0,Yes,Yes,70,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,Mailed check,108.15,5988,No
Male,0,Yes,Yes,62,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),86.1,4370,No
Female,0,Yes,Yes,6,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),19.7,250,No
Female,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,Yes,Electronic check,80.9,290,No
Female,0,No,No,22,Yes,No phone service,Fiber optic,No,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,84.15,1378,No
Male,0,Yes,Yes,22,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),20.15,3583,No
Male,0,Yes,Yes,16,Yes,No,DSL,No internet service,No,No internet service,No,No internet service,No,Two year,No,Credit card (automatic),64.25,51,No
Male,0,No,No,10,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,25.7,2166,No
Female,0,No,Yes,13,Yes,No,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.0,5845,No
Female,0,Yes,No,20,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),82.4,1047,Yes
Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.7,639,No
Male,0,No,No,53,Yes,No phone service,DSL,No,No internet service,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,73.9,3383,No
Female,0,Yes,Yes,11,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),20.6,1966,No
Male,0,Yes,No,69,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),19.9,659,No
Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.9,2373,Yes
Male,0,Yes,No,72,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,89.05,5071,No
Male,1,Yes,No,58,No,Yes,DSL,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.3,2300,Yes
Female,0,Yes,Yes,16,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),20.4,2790,No
Male,0,Yes,No,43,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,No,One year,Yes,Electronic check,84.25,3064,No
Female,0,Yes,No,2,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),104.4,2066,Yes
Male,0,Yes,No,14,Yes,No,DSL,No,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),81.95,339,No
Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,No internet service,No,No internet service,No internet service,One year,Yes,Electronic check,94.85,4239,Yes
Female,0,No,No,32,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,20.55,5230,No
Female,0,Yes,No,34,Yes,No phone service,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),24.7,5917,No
Female,1,No,No,15,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.45,277,Yes
Female,1,No,No,7,Yes,No,Fiber optic,No internet service,No,No,No,No,No,Month-to-month,No,Electronic check,76.45,4260,Yes
Female,0,Yes,Yes,15,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,105.35,1001,No
Male,0,Yes,No,61,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,20.55,459,No
Female,0,No,No,1,No,Yes,DSL,No,No internet service,No,No,No,No,Month-to-month,No,Electronic check,29.95,2507,Yes
Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),45.3,3816,No
Male,0,No,No,8,Yes,No phone service,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,84.5,5278,Yes
Male,0,Yes,Yes,33,Yes,No,DSL,No internet service,No,No internet service,No,No internet service,No internet service,One year,No,Mailed check,74.75,2104,No
Female,0,No,No,13,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.25,216,Yes
Female,0,Yes,No,1,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),24.8,2044,Yes
Male,0,No,No,20,Yes,No,DSL,No,No internet service,No,No,No,No,Month-to-month,Yes,Credit card (automatic),51.8,48,No
Male,0,No,No,3,No,Yes,DSL,No,No,No,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),30.4,6099,No
Female,0,No,No,13,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),19.65,2090,No
Female,0,Yes,No,40,Yes,No phone service,DSL,No,No internet service,No,No,No,No,Month-to-month,No,Mailed check,56.6,2015,No
Male,0,Yes,Yes,43,Yes,No phone service,DSL,No internet service,No,No,No internet service,No,No internet service,One year,Yes,Mailed check,71.9,2757,No
Male,0,Yes,No,6,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),91.0,4440,Yes
